legacy_db,legacy_table,family,target_entity,target_table,legacy_column_count,primary_key_columns,foreign_key_count
02-administrativo-evaluador,ctg_productos_ec_DOCs,ctg_productos_{tipo}_docs,product,product,15,adm_ecDOC_idr|adm_ecDOC_tpt_id|adm_ecDOC_tpr_id|adm_ecDOC_ttc_id|adm_ecDOC_numsol|adm_ecDOC_id|adm_ecDOC_part,4
02-administrativo-evaluador,ctg_productos_ec_EMPRESAS,ctg_productos_{tipo}_empresas,product,product,84,adm_ecEMP_id|adm_ecEMP_tpr_id|adm_ecEMP_rif|adm_ecEMP_rol_id,4
02-administrativo-evaluador,ctg_productos_ec_EMPRESASreg,ctg_productos_{tipo}_empresasreg,product,product,108,adm_ecEMPreg_id|adm_ecEMPreg_tpt_id|adm_ecEMPreg_tpr_id|adm_ecEMPreg_rif|adm_ecEMPreg_rol_id|adm_ecEMPreg_nombre,1
02-administrativo-evaluador,ctg_productos_ec_FIT,ctg_productos_{tipo}_fit,product,product,33,adm_ecFIT_id|adm_ecFIT_tpr_id|adm_ecFIT_tipo,1
02-administrativo-evaluador,ctg_productos_ec_cursos,ctg_productos_{tipo}_cursos,product,product,29,adm_ec_numreg|adm_ec_tpr_id,0
02-administrativo-evaluador,ctg_productos_ec_files,ctg_productos_{tipo}_files,product,product,13,adm_ecfil_idr|adm_ecfil_numsol|adm_ecfil_tpr_id|adm_ecfil_tpt_id|adm_ecfil_id,3
02-administrativo-evaluador,ctg_productos_ec_formula,ctg_productos_{tipo}_formula,product,product,23,adm_ecFOR_idr|adm_ecFOR_tpr_id|adm_ecFOR_id|adm_ecFOR_sus_id|adm_ecFOR_tipo,3
02-administrativo-evaluador,ctg_productos_ec_formulareg,ctg_productos_{tipo}_formulareg,product,product,23,adm_ecFOR_idr|adm_ecFOR_tpr_id|adm_ecFOR_id|adm_ecFOR_sus_nom|adm_ecFOR_tipo,2
02-administrativo-evaluador,ctg_productos_ec_historia,ctg_productos_{tipo}_historia,product,product,13,adm_ecHIS_id|adm_ecHIS_tpr_id|adm_ecHIS_tipo|adm_ecHIS_fecha,1
02-administrativo-evaluador,ctg_productos_ec_mensajes,ctg_productos_{tipo}_mensajes,product,product,13,adm_ecmsg_idr|adm_ecmsg_tpt_id|adm_ecmsg_tpr_id|adm_ecmsg_tipo|adm_ecmsg_id,1
02-administrativo-evaluador,ctg_productos_ec_personas,ctg_productos_{tipo}_personas,product,product,13,adm_ecper_idr|adm_ecper_numreg|adm_ecper_tpr_id|adm_ecper_id|adm_ecper_cui,1
